s,zeta(s)
(0.5+46435.140625j),0j
(0.5+46435.89453125j),0j
(0.5+46436.3515625j),0j
(0.5+46437.0625j),0j
(0.5+46437.51171875j),0j
(0.5+46438.8359375j),0j
(0.5+46439.32421875j),0j
(0.5+46440.23828125j),0j
(0.5+46440.96875j),0j
(0.5+46441.5390625j),0j
(0.5+46442.43359375j),0j
(0.5+46443.1015625j),0j
(0.5+46443.421875j),0j
(0.5+46443.94921875j),0j
(0.5+46444.53515625j),0j
(0.5+46445.94140625j),0j
(0.5+46446.21484375j),0j
(0.5+46446.9921875j),0j
(0.5+46448.0546875j),0j
(0.5+46448.56640625j),0j
(0.5+46449.2578125j),0j
(0.5+46450.12109375j),0j
(0.5+46450.51953125j),0j
(0.5+46451.6015625j),0j
(0.5+46451.85546875j),0j
(0.5+46453.02734375j),0j
(0.5+46453.33984375j),0j
(0.5+46453.984375j),0j
(0.5+46454.8515625j),0j
(0.5+46455.30078125j),0j
(0.5+46455.953125j),0j
(0.5+46456.81640625j),0j
(0.5+46458.30859375j),0j
(0.5+46458.7578125j),0j
(0.5+46459.20703125j),0j
(0.5+46459.671875j),0j
(0.5+46460.4453125j),0j
(0.5+46461.23828125j),0j
(0.5+46461.7890625j),0j
(0.5+46462.55078125j),0j
(0.5+46463.28515625j),0j
(0.5+46463.8046875j),0j
(0.5+46464.69921875j),0j
(0.5+46465.4375j),0j
(0.5+46466.39453125j),0j
(0.5+46466.75390625j),0j
(0.5+46467.51171875j),0j
(0.5+46468.40625j),0j
(0.5+46469.1328125j),0j
(0.5+46469.90625j),0j
(0.5+46470.43359375j),0j
(0.5+46471.09375j),0j
(0.5+46471.671875j),0j
(0.5+46472.19921875j),0j
(0.5+46472.9140625j),0j
(0.5+46473.61328125j),0j
(0.5+46474.890625j),0j
(0.5+46475.515625j),0j
(0.5+46475.93359375j),0j
(0.5+46477.1875j),0j
(0.5+46477.5078125j),0j
(0.5+46478.1796875j),0j
(0.5+46478.703125j),0j
(0.5+46479.3984375j),0j
(0.5+46480.07421875j),0j
(0.5+46481.2265625j),0j
(0.5+46481.671875j),0j
(0.5+46482.25390625j),0j
(0.5+46482.88671875j),0j
(0.5+46483.390625j),0j
(0.5+46484.69921875j),0j
(0.5+46485.34765625j),0j
(0.5+46486.04296875j),0j
(0.5+46486.76171875j),0j
(0.5+46487.56640625j),0j
(0.5+46488.171875j),0j
(0.5+46488.421875j),0j
(0.5+46489.4140625j),0j
(0.5+46490.00390625j),0j
(0.5+46490.73046875j),0j
(0.5+46491.015625j),0j
(0.5+46492.31640625j),0j
(0.5+46493.125j),0j
(0.5+46493.828125j),0j
(0.5+46494.734375j),0j
(0.5+46495.125j),0j
(0.5+46495.359375j),0j
(0.5+46496.52734375j),0j
(0.5+46497.5234375j),0j
(0.5+46497.8515625j),0j
(0.5+46498.6875j),0j
(0.5+46498.99609375j),0j
(0.5+46499.8359375j),0j
(0.5+46500.75390625j),0j
(0.5+46501.171875j),0j
(0.5+46501.8203125j),0j
(0.5+46503.03515625j),0j
(0.5+46503.80859375j),0j
(0.5+46504.5078125j),0j
(0.5+46505.14453125j),0j
(0.5+46505.84765625j),0j
(0.5+46506.02734375j),0j
(0.5+46507.140625j),0j
(0.5+46507.3671875j),0j
(0.5+46508.3125j),0j
(0.5+46509.21484375j),0j
(0.5+46509.8828125j),0j
(0.5+46510.45703125j),0j
(0.5+46511.27734375j),0j
(0.5+46512.0859375j),0j
(0.5+46512.80859375j),0j
(0.5+46513.58203125j),0j
(0.5+46514.12890625j),0j
(0.5+46514.80078125j),0j
(0.5+46515.50390625j),0j
(0.5+46516.56640625j),0j
(0.5+46516.94140625j),0j
(0.5+46517.515625j),0j
(0.5+46517.82421875j),0j
(0.5+46518.76953125j),0j
(0.5+46519.51953125j),0j
(0.5+46520.8671875j),0j
(0.5+46521.44921875j),0j
(0.5+46521.953125j),0j
(0.5+46522.70703125j),0j
(0.5+46523.19921875j),0j
(0.5+46524.20703125j),0j
(0.5+46524.578125j),0j
(0.5+46525.02734375j),0j
(0.5+46526.28125j),0j
(0.5+46526.6953125j),0j
(0.5+46527.40625j),0j
(0.5+46528.0078125j),0j
(0.5+46528.953125j),0j
(0.5+46529.796875j),0j
(0.5+46530.11328125j),0j
(0.5+46530.9921875j),0j
(0.5+46532.21484375j),0j
(0.5+46532.6015625j),0j
(0.5+46533.37109375j),0j
(0.5+46533.73828125j),0j
(0.5+46534.38671875j),0j
(0.5+46535.1640625j),0j
(0.5+46535.62890625j),0j
(0.5+46536.78515625j),0j
(0.5+46537.05859375j),0j
(0.5+46537.8984375j),0j
(0.5+46539.265625j),0j
(0.5+46539.79296875j),0j
(0.5+46540.15625j),0j
(0.5+46541.09765625j),0j
(0.5+46541.44921875j),0j
(0.5+46542.09765625j),0j
(0.5+46543.25390625j),0j
(0.5+46543.69140625j),0j
(0.5+46544.4296875j),0j
(0.5+46545.1796875j),0j
(0.5+46545.62890625j),0j
(0.5+46546.25j),0j
(0.5+46546.9609375j),0j
(0.5+46548.23046875j),0j
(0.5+46548.8203125j),0j
(0.5+46549.6640625j),0j
(0.5+46550.1640625j),0j
(0.5+46550.80859375j),0j
(0.5+46551.5625j),0j
(0.5+46552.42578125j),0j
(0.5+46552.5625j),0j
(0.5+46553.3828125j),0j
(0.5+46553.86328125j),0j
(0.5+46555.046875j),0j
(0.5+46555.88671875j),0j
(0.5+46556.58984375j),0j
(0.5+46556.92578125j),0j
(0.5+46558.00390625j),0j
(0.5+46558.59375j),0j
(0.5+46559.3984375j),0j
(0.5+46559.765625j),0j
(0.5+46561.02734375j),0j
(0.5+46561.44140625j),0j
(0.5+46561.7109375j),0j
(0.5+46562.875j),0j
(0.5+46563.4296875j),0j
(0.5+46563.7578125j),0j
(0.5+46564.59375j),0j
(0.5+46565.55859375j),0j
(0.5+46566.54296875j),0j
(0.5+46567.26171875j),0j
(0.5+46568.03125j),0j
(0.5+46568.6328125j),0j
(0.5+46569.0625j),0j
(0.5+46569.48828125j),0j
(0.5+46570.296875j),0j
(0.5+46571.46484375j),0j
(0.5+46571.7890625j),0j
(0.5+46572.5625j),0j
(0.5+46573.1953125j),0j
(0.5+46573.81640625j),0j
(0.5+46575.05078125j),0j
(0.5+46575.4296875j),0j
(0.5+46576.36328125j),0j
(0.5+46576.6484375j),0j
(0.5+46577.76171875j),0j
(0.5+46578.6015625j),0j
(0.5+46579.06640625j),0j
(0.5+46579.7109375j),0j
(0.5+46580.171875j),0j
(0.5+46580.91796875j),0j
(0.5+46581.609375j),0j
(0.5+46582.0703125j),0j
(0.5+46583.2734375j),0j
(0.5+46584.2265625j),0j
(0.5+46584.85546875j),0j
(0.5+46585.4609375j),0j
(0.5+46585.96875j),0j
(0.5+46586.859375j),0j
(0.5+46587.546875j),0j
(0.5+46588.01953125j),0j
(0.5+46588.6875j),0j
(0.5+46589.4609375j),0j
(0.5+46590.52734375j),0j
(0.5+46590.8125j),0j
(0.5+46591.484375j),0j
(0.5+46592.296875j),0j
(0.5+46592.78125j),0j
(0.5+46593.90234375j),0j
(0.5+46595.109375j),0j
(0.5+46595.3671875j),0j
(0.5+46595.76171875j),0j
(0.5+46596.73828125j),0j
(0.5+46597.35546875j),0j
(0.5+46597.91015625j),0j
(0.5+46598.5625j),0j
(0.5+46599.15625j),0j
(0.5+46599.91796875j),0j
(0.5+46600.91015625j),0j
(0.5+46601.375j),0j
(0.5+46602.6328125j),0j
(0.5+46603.18359375j),0j
(0.5+46603.80859375j),0j
(0.5+46604.07421875j),0j
(0.5+46605.203125j),0j
(0.5+46605.625j),0j
(0.5+46606.68359375j),0j
(0.5+46607.5j),0j
(0.5+46607.73828125j),0j
(0.5+46608.4375j),0j
(0.5+46608.74609375j),0j
(0.5+46610.1484375j),0j
(0.5+46610.44140625j),0j
(0.5+46611.54296875j),0j
(0.5+46612.27734375j),0j
(0.5+46613.0859375j),0j
(0.5+46613.83984375j),0j
(0.5+46614.3359375j),0j
(0.5+46614.91015625j),0j
(0.5+46615.4453125j),0j
(0.5+46616.14453125j),0j
(0.5+46616.84375j),0j
(0.5+46617.80859375j),0j
(0.5+46618.453125j),0j
(0.5+46619.0703125j),0j
(0.5+46619.88671875j),0j
(0.5+46620.62890625j),0j
(0.5+46621.42578125j),0j
(0.5+46621.91015625j),0j
(0.5+46622.921875j),0j
(0.5+46623.68359375j),0j
(0.5+46623.953125j),0j
(0.5+46624.8828125j),0j
(0.5+46625.46484375j),0j
(0.5+46626.16015625j),0j
(0.5+46627j),0j
(0.5+46627.24609375j),0j
(0.5+46627.6875j),0j
(0.5+46629.44921875j),0j
(0.5+46630.0703125j),0j
(0.5+46630.734375j),0j
(0.5+46631.140625j),0j
(0.5+46631.95703125j),0j
(0.5+46632.4375j),0j
(0.5+46633.23046875j),0j
(0.5+46633.95703125j),0j
(0.5+46634.7421875j),0j
(0.5+46635.14453125j),0j
(0.5+46636.08203125j),0j
(0.5+46636.7421875j),0j
(0.5+46637.41015625j),0j
(0.5+46638.015625j),0j
(0.5+46639.14453125j),0j
(0.5+46639.703125j),0j
(0.5+46640.2265625j),0j
(0.5+46641.4375j),0j
(0.5+46641.96875j),0j
(0.5+46642.43359375j),0j
(0.5+46643.171875j),0j
(0.5+46643.50390625j),0j
(0.5+46644.25j),0j
(0.5+46645.078125j),0j
(0.5+46645.9140625j),0j
(0.5+46646.64453125j),0j
(0.5+46647.59375j),0j
(0.5+46648.01953125j),0j
(0.5+46649.22265625j),0j
(0.5+46649.625j),0j
(0.5+46650.13671875j),0j
(0.5+46650.61328125j),0j
(0.5+46651.5546875j),0j
(0.5+46652.55859375j),0j
(0.5+46653.1015625j),0j
(0.5+46653.5j),0j
(0.5+46654.3984375j),0j
(0.5+46654.85546875j),0j
(0.5+46655.46875j),0j
(0.5+46656.64453125j),0j
(0.5+46657.37109375j),0j
(0.5+46658.37890625j),0j
(0.5+46658.921875j),0j
(0.5+46659.2734375j),0j
(0.5+46660.03125j),0j
(0.5+46660.7890625j),0j
(0.5+46661.53125j),0j
(0.5+46661.82421875j),0j
(0.5+46662.70703125j),0j
(0.5+46663.45703125j),0j
(0.5+46664.08203125j),0j
(0.5+46665.4375j),0j
(0.5+46665.78515625j),0j
(0.5+46666.375j),0j
(0.5+46667.0078125j),0j
(0.5+46667.8125j),0j
(0.5+46668.77734375j),0j
(0.5+46669.41796875j),0j
(0.5+46669.90234375j),0j
(0.5+46670.515625j),0j
(0.5+46671.45703125j),0j
(0.5+46671.79296875j),0j
(0.5+46672.46484375j),0j
(0.5+46673.28515625j),0j
(0.5+46673.97265625j),0j
(0.5+46675.02734375j),0j
(0.5+46676.07421875j),0j
(0.5+46676.39453125j),0j
(0.5+46677.09375j),0j
(0.5+46677.6953125j),0j
(0.5+46678.4921875j),0j
(0.5+46678.890625j),0j
(0.5+46679.375j),0j
(0.5+46680.640625j),0j
(0.5+46681.46875j),0j
(0.5+46681.75390625j),0j
(0.5+46682.23828125j),0j
(0.5+46683.26171875j),0j
(0.5+46684.23046875j),0j
(0.5+46684.89453125j),0j
(0.5+46685.4296875j),0j
(0.5+46686.26171875j),0j
(0.5+46686.91796875j),0j
(0.5+46687.74609375j),0j
(0.5+46688.36328125j),0j
(0.5+46689.03515625j),0j
(0.5+46689.31640625j),0j
(0.5+46690.03515625j),0j
(0.5+46690.74609375j),0j
(0.5+46691.796875j),0j
(0.5+46692.62890625j),0j
(0.5+46693.58984375j),0j
(0.5+46693.94921875j),0j
(0.5+46694.74609375j),0j
(0.5+46695.32421875j),0j
(0.5+46695.83203125j),0j
(0.5+46696.8671875j),0j
(0.5+46697.3203125j),0j
(0.5+46698.296875j),0j
(0.5+46698.5390625j),0j
(0.5+46699.45703125j),0j
(0.5+46700.3359375j),0j
(0.5+46700.65625j),0j
(0.5+46701.70703125j),0j
(0.5+46702.03125j),0j
(0.5+46703.640625j),0j
(0.5+46703.8046875j),0j
(0.5+46704.84375j),0j
(0.5+46705.30859375j),0j
(0.5+46705.74609375j),0j
(0.5+46706.2109375j),0j
(0.5+46707.4453125j),0j
(0.5+46707.83984375j),0j
(0.5+46708.34375j),0j
(0.5+46709.2578125j),0j
(0.5+46710.25j),0j
(0.5+46710.8828125j),0j
(0.5+46711.76171875j),0j
(0.5+46712.30859375j),0j
(0.5+46713.109375j),0j
(0.5+46713.42578125j),0j
(0.5+46714.28515625j),0j
(0.5+46715.19921875j),0j
(0.5+46715.9140625j),0j
(0.5+46716.4453125j),0j
(0.5+46717.1015625j),0j
(0.5+46717.56640625j),0j
(0.5+46718.30078125j),0j
(0.5+46718.88671875j),0j
(0.5+46720.4140625j),0j
(0.5+46721.02734375j),0j
(0.5+46721.2890625j),0j
(0.5+46722.19140625j),0j
(0.5+46723.1640625j),0j
(0.5+46723.578125j),0j
(0.5+46724.015625j),0j
(0.5+46724.6875j),0j
(0.5+46725.42578125j),0j
(0.5+46726.14453125j),0j
(0.5+46727.18359375j),0j
(0.5+46727.828125j),0j
(0.5+46728.109375j),0j
(0.5+46729.3984375j),0j
(0.5+46729.7734375j),0j
(0.5+46730.55078125j),0j
(0.5+46731.48046875j),0j
(0.5+46732.0234375j),0j
(0.5+46732.8671875j),0j
(0.5+46733.48046875j),0j
(0.5+46733.93359375j),0j
(0.5+46734.58984375j),0j
(0.5+46735.4921875j),0j
(0.5+46735.859375j),0j
(0.5+46736.7265625j),0j
(0.5+46737.31640625j),0j
(0.5+46738.73046875j),0j
(0.5+46739.39453125j),0j
(0.5+46739.9921875j),0j
(0.5+46740.37890625j),0j
(0.5+46740.94140625j),0j
(0.5+46741.69140625j),0j
(0.5+46742.6015625j),0j
(0.5+46743.16015625j),0j
(0.5+46744.1953125j),0j
(0.5+46744.37109375j),0j
(0.5+46745.16796875j),0j
(0.5+46745.8828125j),0j
(0.5+46746.8125j),0j
(0.5+46747.70703125j),0j
(0.5+46747.859375j),0j
(0.5+46749.265625j),0j
(0.5+46749.72265625j),0j
(0.5+46750.51953125j),0j
(0.5+46750.859375j),0j
(0.5+46752.01171875j),0j
(0.5+46752.2421875j),0j
(0.5+46752.71484375j),0j
(0.5+46753.41015625j),0j
(0.5+46754.3984375j),0j
(0.5+46755.44140625j),0j
(0.5+46755.8828125j),0j
(0.5+46756.98828125j),0j
(0.5+46757.26171875j),0j
(0.5+46758.08203125j),0j
(0.5+46758.98046875j),0j
(0.5+46759.45703125j),0j
(0.5+46759.9765625j),0j
(0.5+46760.80078125j),0j
(0.5+46761.65234375j),0j
(0.5+46762.3515625j),0j
(0.5+46763.02734375j),0j
(0.5+46763.33203125j),0j
(0.5+46763.94140625j),0j
(0.5+46765.06640625j),0j
(0.5+46765.99609375j),0j
(0.5+46766.796875j),0j
(0.5+46767.51171875j),0j
(0.5+46768.0625j),0j
(0.5+46768.48828125j),0j
(0.5+46769.359375j),0j
(0.5+46769.9609375j),0j
(0.5+46770.40234375j),0j
(0.5+46771.40234375j),0j
(0.5+46772.12890625j),0j
(0.5+46772.5j),0j
(0.5+46773.609375j),0j
(0.5+46774.4296875j),0j
(0.5+46775.16796875j),0j
(0.5+46775.6875j),0j
(0.5+46776.34765625j),0j
(0.5+46776.80859375j),0j
(0.5+46778.2890625j),0j
(0.5+46778.6484375j),0j
(0.5+46779.1484375j),0j
(0.5+46779.6640625j),0j
(0.5+46780.359375j),0j
(0.5+46781.2109375j),0j
(0.5+46781.765625j),0j
(0.5+46782.4375j),0j
(0.5+46783.66796875j),0j
(0.5+46784.28515625j),0j
(0.5+46785.11328125j),0j
(0.5+46785.70703125j),0j
(0.5+46786.3125j),0j
(0.5+46786.9296875j),0j
(0.5+46787.4375j),0j
(0.5+46788.11328125j),0j
(0.5+46789.12109375j),0j
(0.5+46789.671875j),0j
(0.5+46790.36328125j),0j
(0.5+46791.37109375j),0j
(0.5+46791.640625j),0j
(0.5+46792.265625j),0j
(0.5+46793.55859375j),0j
(0.5+46794.1875j),0j
(0.5+46794.765625j),0j
(0.5+46795.640625j),0j
(0.5+46795.9609375j),0j
(0.5+46797.03125j),0j
(0.5+46797.36328125j),0j
(0.5+46798.31640625j),0j
(0.5+46798.57421875j),0j
(0.5+46799.2265625j),0j
(0.5+46799.97265625j),0j
(0.5+46801.53515625j),0j
(0.5+46801.8046875j),0j
(0.5+46802.74609375j),0j
(0.5+46803.05078125j),0j
(0.5+46804.0390625j),0j
(0.5+46804.42578125j),0j
(0.5+46805.1875j),0j
(0.5+46805.9921875j),0j
(0.5+46806.703125j),0j
(0.5+46807.4375j),0j
(0.5+46807.984375j),0j
(0.5+46808.44921875j),0j
(0.5+46809.39453125j),0j
(0.5+46810.21484375j),0j
(0.5+46810.78515625j),0j
(0.5+46811.734375j),0j
(0.5+46812.45703125j),0j
(0.5+46813.484375j),0j
(0.5+46813.91796875j),0j
(0.5+46814.27734375j),0j
(0.5+46815.1640625j),0j
(0.5+46815.4375j),0j
(0.5+46816.26953125j),0j
(0.5+46817.26953125j),0j
(0.5+46817.875j),0j
(0.5+46818.56640625j),0j
(0.5+46819.22265625j),0j
(0.5+46820.49609375j),0j
(0.5+46821.00390625j),0j
(0.5+46821.30078125j),0j
(0.5+46822.0859375j),0j
(0.5+46823.0234375j),0j
(0.5+46823.6171875j),0j
(0.5+46824.21875j),0j
(0.5+46825.30078125j),0j
(0.5+46825.60546875j),0j
(0.5+46826.07421875j),0j
(0.5+46826.9296875j),0j
(0.5+46827.40234375j),0j
(0.5+46828.45703125j),0j
(0.5+46829.734375j),0j
(0.5+46830.16015625j),0j
(0.5+46830.90625j),0j
(0.5+46831.11328125j),0j
(0.5+46832.13671875j),0j
(0.5+46832.68359375j),0j
(0.5+46833.57421875j),0j
(0.5+46834.0703125j),0j
(0.5+46834.25390625j),0j
(0.5+46835.8359375j),0j
(0.5+46836.11328125j),0j
(0.5+46836.921875j),0j
(0.5+46837.80859375j),0j
(0.5+46838.328125j),0j
(0.5+46839.02734375j),0j
(0.5+46839.89453125j),0j
(0.5+46840.90625j),0j
(0.5+46841.15234375j),0j
(0.5+46842.0078125j),0j
(0.5+46842.61328125j),0j
(0.5+46843.19921875j),0j
(0.5+46843.796875j),0j
(0.5+46844.50390625j),0j
(0.5+46845.16796875j),0j
(0.5+46846.00390625j),0j
(0.5+46847.15625j),0j
(0.5+46847.578125j),0j
(0.5+46848.640625j),0j
(0.5+46849.1328125j),0j
(0.5+46849.7109375j),0j
(0.5+46850.1875j),0j
(0.5+46850.6875j),0j
(0.5+46851.89453125j),0j
(0.5+46852.7421875j),0j
(0.5+46852.984375j),0j
(0.5+46853.94921875j),0j
(0.5+46854.1015625j),0j
(0.5+46855.1875j),0j
(0.5+46856.09765625j),0j
(0.5+46856.8203125j),0j
(0.5+46857.546875j),0j
(0.5+46858.16796875j),0j
(0.5+46859.0390625j),0j
(0.5+46859.77734375j),0j
(0.5+46860.34375j),0j
(0.5+46860.52734375j),0j
(0.5+46861.578125j),0j
(0.5+46862.1015625j),0j
(0.5+46862.6953125j),0j
(0.5+46863.63671875j),0j
(0.5+46864.7265625j),0j
(0.5+46865.50390625j),0j
(0.5+46865.82421875j),0j
(0.5+46866.47265625j),0j
(0.5+46867.53125j),0j
(0.5+46867.84765625j),0j
(0.5+46868.67578125j),0j
(0.5+46869.703125j),0j
(0.5+46869.8984375j),0j
(0.5+46870.5703125j),0j
(0.5+46871.546875j),0j
(0.5+46872.26953125j),0j
(0.5+46872.62109375j),0j
(0.5+46873.15234375j),0j
(0.5+46874.40234375j),0j
(0.5+46875.4921875j),0j
(0.5+46876.08984375j),0j
(0.5+46876.4296875j),0j
(0.5+46877.17578125j),0j
(0.5+46877.90625j),0j
(0.5+46878.3125j),0j
(0.5+46879.19140625j),0j
(0.5+46879.67578125j),0j
(0.5+46880.70703125j),0j
(0.5+46881.234375j),0j
(0.5+46881.9296875j),0j
(0.5+46882.859375j),0j
(0.5+46883.59765625j),0j
(0.5+46884.3203125j),0j
(0.5+46885.125j),0j
(0.5+46885.29296875j),0j
(0.5+46886.359375j),0j
(0.5+46887.21484375j),0j
(0.5+46887.92578125j),0j
(0.5+46888.39453125j),0j
(0.5+46888.921875j),0j
(0.5+46889.6875j),0j
(0.5+46889.859375j),0j
(0.5+46891.3125j),0j
(0.5+46892.03515625j),0j
(0.5+46892.69921875j),0j
(0.5+46893.71875j),0j
(0.5+46894.21875j),0j
(0.5+46894.71484375j),0j
(0.5+46895.63671875j),0j
(0.5+46896.1015625j),0j
(0.5+46896.51953125j),0j
(0.5+46897.46875j),0j
(0.5+46898.3203125j),0j
(0.5+46899.0078125j),0j
(0.5+46899.57421875j),0j
(0.5+46900.1953125j),0j
(0.5+46901.1015625j),0j
(0.5+46901.91015625j),0j
(0.5+46902.30859375j),0j
(0.5+46903.5859375j),0j
(0.5+46904.23046875j),0j
(0.5+46904.7734375j),0j
(0.5+46905.0703125j),0j
(0.5+46905.93359375j),0j
(0.5+46906.80078125j),0j
(0.5+46907.4296875j),0j
(0.5+46907.6171875j),0j
(0.5+46908.65234375j),0j
(0.5+46909.34375j),0j
(0.5+46910.7109375j),0j
(0.5+46911.1953125j),0j
(0.5+46911.921875j),0j
(0.5+46912.29296875j),0j
(0.5+46912.8046875j),0j
(0.5+46913.90234375j),0j
(0.5+46914.45703125j),0j
(0.5+46915.21875j),0j
(0.5+46915.93359375j),0j
(0.5+46916.5j),0j
(0.5+46917.12890625j),0j
(0.5+46917.828125j),0j
(0.5+46918.453125j),0j
(0.5+46919.44921875j),0j
(0.5+46920.34765625j),0j
(0.5+46920.8828125j),0j
(0.5+46921.84765625j),0j
(0.5+46922.234375j),0j
(0.5+46923.28125j),0j
(0.5+46923.64453125j),0j
(0.5+46923.98046875j),0j
(0.5+46924.79296875j),0j
(0.5+46925.453125j),0j
(0.5+46926.45703125j),0j
(0.5+46927.29296875j),0j
(0.5+46927.84375j),0j
(0.5+46928.4765625j),0j
(0.5+46929.44140625j),0j
(0.5+46930.2109375j),0j
(0.5+46930.72265625j),0j
(0.5+46931.32421875j),0j
(0.5+46932.015625j),0j
(0.5+46932.9765625j),0j
(0.5+46933.59375j),0j
(0.5+46934.296875j),0j
(0.5+46934.50390625j),0j
(0.5+46935.54296875j),0j
(0.5+46936.07421875j),0j
(0.5+46936.578125j),0j
(0.5+46938.19921875j),0j
(0.5+46938.828125j),0j
(0.5+46939.0859375j),0j
(0.5+46940.19921875j),0j
(0.5+46940.59375j),0j
(0.5+46940.90625j),0j
(0.5+46941.921875j),0j
(0.5+46942.578125j),0j
(0.5+46943.453125j),0j
(0.5+46943.8515625j),0j
(0.5+46944.4765625j),0j
(0.5+46945.56640625j),0j
(0.5+46946.3046875j),0j
(0.5+46946.9375j),0j
(0.5+46947.55859375j),0j
(0.5+46948.140625j),0j
(0.5+46949.40234375j),0j
(0.5+46949.76171875j),0j
(0.5+46950.69140625j),0j
(0.5+46951.0703125j),0j
(0.5+46951.65234375j),0j
(0.5+46952.2734375j),0j
(0.5+46953.0625j),0j
(0.5+46953.8359375j),0j
(0.5+46954.203125j),0j
(0.5+46955.68359375j),0j
(0.5+46956.2265625j),0j
(0.5+46956.82421875j),0j
(0.5+46957.8125j),0j
(0.5+46958.09765625j),0j
(0.5+46958.87109375j),0j
(0.5+46959.5j),0j
(0.5+46960.01171875j),0j
(0.5+46960.93359375j),0j
(0.5+46961.9140625j),0j
(0.5+46962.4296875j),0j
(0.5+46962.89453125j),0j
(0.5+46963.34765625j),0j
(0.5+46964.421875j),0j
(0.5+46965.359375j),0j
(0.5+46966.203125j),0j
(0.5+46966.6875j),0j
(0.5+46967.59765625j),0j
(0.5+46967.91015625j),0j
(0.5+46968.82421875j),0j
(0.5+46969.62890625j),0j
(0.5+46969.87109375j),0j
(0.5+46970.54296875j),0j
(0.5+46971.11328125j),0j
(0.5+46972.3515625j),0j
(0.5+46972.86328125j),0j
(0.5+46973.84375j),0j
(0.5+46974.6640625j),0j
(0.5+46975.11328125j),0j
(0.5+46975.828125j),0j
(0.5+46976.1953125j),0j
(0.5+46977.33984375j),0j
(0.5+46978.07421875j),0j
(0.5+46978.59765625j),0j
(0.5+46979.16796875j),0j
(0.5+46979.92578125j),0j
(0.5+46980.50390625j),0j
(0.5+46981.171875j),0j
(0.5+46982.0625j),0j
(0.5+46982.68359375j),0j
(0.5+46983.5390625j),0j
(0.5+46984.69921875j),0j
(0.5+46985.3359375j),0j
(0.5+46985.7421875j),0j
(0.5+46986.10546875j),0j
(0.5+46986.90234375j),0j
(0.5+46987.7421875j),0j
(0.5+46988.08203125j),0j
(0.5+46989.32421875j),0j
(0.5+46989.6328125j),0j
(0.5+46990.4921875j),0j
(0.5+46991.1953125j),0j
(0.5+46992.09765625j),0j
(0.5+46992.80859375j),0j
(0.5+46993.375j),0j
(0.5+46994.2578125j),0j
(0.5+46994.671875j),0j
(0.5+46995.69921875j),0j
(0.5+46996.31640625j),0j
(0.5+46996.7890625j),0j
(0.5+46997.82421875j),0j
(0.5+46998.05859375j),0j
(0.5+46998.66796875j),0j
(0.5+46999.1640625j),0j
(0.5+47000.5546875j),0j
(0.5+47001.55078125j),0j
(0.5+47002.17578125j),0j
(0.5+47002.41796875j),0j
(0.5+47003.21875j),0j
(0.5+47004.27734375j),0j
(0.5+47004.62109375j),0j
(0.5+47005.0703125j),0j
(0.5+47005.921875j),0j
(0.5+47006.78515625j),0j
(0.5+47007.3671875j),0j
(0.5+47008.15234375j),0j
(0.5+47008.80859375j),0j
(0.5+47009.5390625j),0j
(0.5+47010.06640625j),0j
(0.5+47011.19140625j),0j
(0.5+47011.82421875j),0j
(0.5+47012.50390625j),0j
(0.5+47013.4765625j),0j
(0.5+47013.88671875j),0j
(0.5+47014.421875j),0j
(0.5+47015.06640625j),0j
(0.5+47015.55859375j),0j
(0.5+47016.74609375j),0j
(0.5+47016.97265625j),0j
(0.5+47017.8671875j),0j
(0.5+47018.7109375j),0j
(0.5+47019.98046875j),0j
(0.5+47020.21484375j),0j
(0.5+47021.015625j),0j
(0.5+47021.53515625j),0j
(0.5+47022.1640625j),0j
(0.5+47022.64453125j),0j
(0.5+47024.078125j),0j
(0.5+47024.52734375j),0j
(0.5+47024.8125j),0j
(0.5+47025.62890625j),0j
(0.5+47026.265625j),0j
(0.5+47026.984375j),0j
(0.5+47027.8515625j),0j
(0.5+47028.6015625j),0j
(0.5+47029.734375j),0j
(0.5+47030.12109375j),0j
(0.5+47030.78515625j),0j
(0.5+47031.64453125j),0j
(0.5+47032.03515625j),0j
(0.5+47032.84375j),0j
(0.5+47033.296875j),0j
(0.5+47034.00390625j),0j
(0.5+47034.5546875j),0j
(0.5+47035.86328125j),0j
(0.5+47036.30859375j),0j
(0.5+47037.1875j),0j
(0.5+47037.79296875j),0j
(0.5+47038.43359375j),0j
(0.5+47039.19140625j),0j
(0.5+47040.03125j),0j
(0.5+47040.83984375j),0j
(0.5+47041.09765625j),0j
(0.5+47041.8984375j),0j
(0.5+47042.8203125j),0j
(0.5+47043.375j),0j
(0.5+47043.875j),0j
(0.5+47044.48828125j),0j
(0.5+47045.1015625j),0j
(0.5+47046.3828125j),0j
(0.5+47047.1953125j),0j
(0.5+47047.95703125j),0j
(0.5+47048.484375j),0j
(0.5+47049.13671875j),0j
(0.5+47049.5625j),0j
(0.5+47050.28515625j),0j
(0.5+47051.08203125j),0j
(0.5+47051.70703125j),0j
(0.5+47052.51171875j),0j
(0.5+47053.390625j),0j
(0.5+47053.7265625j),0j
(0.5+47054.29296875j),0j
(0.5+47055.83203125j),0j
(0.5+47056.25390625j),0j
(0.5+47056.46484375j),0j
(0.5+47057.44921875j),0j
(0.5+47058.49609375j),0j
(0.5+47059.06640625j),0j
(0.5+47059.7421875j),0j
(0.5+47060.25390625j),0j
(0.5+47060.8125j),0j
(0.5+47061.2734375j),0j
